pedestrianId simTime groupId-PID5
1 0.4 1
2 0.4 1
3 0.4 1
4 0.4 1
5 0.4 0
6 0.4 1
7 0.4 1
8 0.4 1
9 0.4 1
10 0.4 1
11 0.4 1
12 0.4 1
13 0.4 1
14 0.4 1
15 0.4 1
16 0.4 1
17 0.4 1
18 0.4 1
4 0.9 1
8 0.9 1
11 0.9 1
14 0.9 1
18 0.9 1
1 1.0 1
2 1.0 1
5 1.0 0
6 1.0 1
9 1.0 1
15 1.0 1
16 1.0 1
17 1.0 1
3 1.1 1
7 1.1 1
12 1.1 1
13 1.1 1
10 1.2 1
4 1.3 1
11 1.4 1
14 1.4 1
8 1.5 1
9 1.5 1
18 1.5 1
2 1.6 1
5 1.6 0
15 1.6 1
16 1.6 1
1 1.7 1
3 1.7 1
6 1.7 1
17 1.7 1
4 1.8 1
7 1.8 1
12 1.8 1
13 1.8 1
11 1.9 1
14 1.9 1
8 2.0 1
10 2.0 1
18 2.0 1
9 2.1 1
2 2.2 1
15 2.2 1
16 2.2 1
1 2.3 1
4 2.3 1
5 2.3 0
6 2.3 1
17 2.3 1
3 2.4 1
11 2.4 1
14 2.4 1
7 2.5 1
8 2.5 1
12 2.5 1
13 2.6 1
18 2.6 1
4 2.7 1
9 2.7 1
2 2.8 1
10 2.8 1
14 2.8 1
15 2.8 1
16 2.8 1
5 2.9 0
11 2.9 1
1 3.0 1
3 3.0 1
6 3.0 1
8 3.0 1
17 3.0 1
18 3.1 1
4 3.2 1
7 3.2 1
12 3.2 1
2 3.3 1
9 3.3 1
13 3.3 1
14 3.3 1
11 3.4 1
15 3.4 1
16 3.4 1
5 3.5 0
1 3.6 1
6 3.6 1
8 3.6 1
10 3.6 1
17 3.6 1
18 3.6 1
3 3.7 1
4 3.7 1
9 3.8 1
14 3.8 1
2 3.9 1
7 3.9 1
11 3.9 1
12 3.9 1
13 4.0 1
16 4.0 1
4 4.1 1
5 4.1 0
8 4.1 1
15 4.1 1
1 4.2 1
6 4.2 1
17 4.2 1
18 4.2 1
14 4.3 1
3 4.4 1
9 4.4 1
10 4.4 1
11 4.4 1
2 4.5 1
4 4.6 1
7 4.6 1
8 4.6 1
16 4.6 1
12 4.7 1
13 4.7 1
15 4.7 1
18 4.7 1
5 4.8 0
14 4.8 1
1 4.9 1
6 4.9 1
11 4.9 1
17 4.9 1
3 5.0 1
4 5.0 1
9 5.0 1
2 5.1 1
8 5.1 1
10 5.2 1
16 5.2 1
7 5.3 1
14 5.3 1
15 5.3 1
18 5.3 1
5 5.4 0
11 5.4 1
12 5.4 1
1 5.5 1
4 5.5 1
6 5.5 1
9 5.5 1
13 5.5 1
17 5.5 1
2 5.7 1
3 5.7 1
8 5.7 1
16 5.7 1
14 5.8 1
18 5.8 1
7 5.9 1
11 5.9 1
15 5.9 1
4 6.0 1
5 6.0 0
10 6.0 1
9 6.1 1
12 6.1 1
17 6.1 1
1 6.2 1
6 6.2 1
8 6.2 1
13 6.2 1
2 6.3 1
3 6.3 1
14 6.3 1
16 6.3 1
18 6.3 1
4 6.4 1
11 6.4 1
15 6.5 1
5 6.6 0
7 6.6 1
8 6.7 1
9 6.7 1
1 6.8 1
6 6.8 1
10 6.8 1
12 6.8 1
14 6.8 1
17 6.8 1
2 6.9 1
4 6.9 1
11 6.9 1
13 6.9 1
16 6.9 1
18 6.9 1
3 7.0 1
15 7.1 1
9 7.2 1
5 7.3 0
7 7.3 1
8 7.3 1
14 7.3 1
1 7.4 1
4 7.4 1
11 7.4 1
17 7.4 1
18 7.4 1
2 7.5 1
6 7.5 1
12 7.5 1
16 7.5 1
10 7.6 1
13 7.6 1
3 7.7 1
14 7.7 1
15 7.7 1
4 7.8 1
8 7.8 1
9 7.8 1
5 7.9 0
11 7.9 1
7 8.0 1
18 8.0 1
1 8.1 1
2 8.1 1
6 8.1 1
16 8.1 1
17 8.1 1
12 8.2 1
14 8.2 1
3 8.3 1
4 8.3 1
8 8.3 1
13 8.3 1
15 8.3 1
9 8.4 1
10 8.4 1
11 8.4 1
5 8.5 0
18 8.5 1
2 8.6 1
1 8.7 1
6 8.7 1
7 8.7 1
14 8.7 1
16 8.7 1
17 8.7 1
4 8.8 1
8 8.8 1
11 8.9 1
12 8.9 1
15 8.9 1
3 9.0 1
9 9.0 1
18 9.0 1
5 9.1 0
13 9.1 1
2 9.2 1
4 9.2 1
10 9.2 1
14 9.2 1
16 9.3 1
17 9.3 1
1 9.4 1
6 9.4 1
7 9.4 1
8 9.4 1
11 9.4 1
9 9.5 1
15 9.5 1
12 9.6 1
18 9.6 1
3 9.7 1
4 9.7 1
14 9.7 1
2 9.8 1
5 9.8 0
13 9.8 1
8 9.9 1
11 9.9 1
16 9.9 1
1 10.0 1
6 10.0 1
10 10.0 1
17 10.0 1
7 10.1 1
9 10.1 1
15 10.1 1
18 10.1 1
4 10.2 1
14 10.2 1
3 10.3 1
12 10.3 1
2 10.4 1
5 10.4 0
8 10.4 1
11 10.4 1
13 10.5 1
16 10.5 1
4 10.6 1
17 10.6 1
1 10.7 1
6 10.7 1
9 10.7 1
14 10.7 1
15 10.7 1
18 10.7 1
7 10.8 1
10 10.8 1
8 10.9 1
11 10.9 1
2 11.0 1
3 11.0 1
5 11.0 0
12 11.0 1
4 11.1 1
16 11.1 1
9 11.2 1
13 11.2 1
14 11.2 1
17 11.2 1
18 11.2 1
1 11.3 1
6 11.3 1
11 11.4 1
15 11.4 1
7 11.5 1
8 11.5 1
2 11.6 1
3 11.6 1
4 11.6 1
5 11.6 0
10 11.6 1
12 11.7 1
